demangled_name,semantic_category,monster_correlation,component_count,top_ngram
rustc_driver_impl::print_crate_info::_$u7b$$u7b$closure$u7d$$u7d$::h7e5580ad75734316,compiler_driver,0.4926,4,u7
rustc_driver_impl::print_crate_info::_$u7b$$u7b$closure$u7d$$u7d$::h861fb776b5351bbc,compiler_driver,0.5225,4,u7
tracing_subscriber::filter::directive::DirectiveSet$LT$tracing_subscriber..filter..directive..StaticDirective$GT$::directives_for_target::he9db80cbbed1aec9,utility,0.4971,6,ti
jiff::fmt::friendly::parser::SpanParser::parse_duration_units::h09ee1b2e710f2e9b,parser,0.5127,7,rs
jiff::fmt::friendly::printer::SpanPrinter::print_duration_hms::h04776666212bda88,utility,0.5874,7,ri
jiff::fmt::friendly::printer::FractionalPrinter::from_duration_seconds::h1099a5a2217ac0e6,utility,0.5547,7,::
jiff::fmt::friendly::printer::SpanPrinter::print_duration_designators::h2464e39c94873521,utility,0.5642,7,ri
rustc_driver_impl::warn_on_confusing_output_filename_flag::hf1e471d3d3635a57,compiler_driver,0.4456,3,_o
_$LT$nu_ansi_term..style..Style$u20$as$u20$core..cmp..PartialEq$GT$::eq::hd55c38ed341069ac,utility,0.3051,3,..
_$LT$nu_ansi_term..style..Color$u20$as$u20$core..fmt..Debug$GT$::fmt::h812e80b8a7cee35e,utility,0.4450,3,..
nu_ansi_term::rgb::rgb_negate::h12394e6701c5f1a8,utility,0.4117,4,rg
