symbol,x,y,z,ngram_count,syn_coverage,monster_density,connections
_ZN81_$LT$rustc_driver_impl..TimePassesCallbacks$u20$as$u20$core..default..Default$GT$7default17h3412dbc39ccbac84E,0.007,0.000,12.483,60,0.0,0.5370,5
_ZN76_$LT$rustc_driver_impl..args..Expander$u20$as$u20$core..default..Default$GT$7default17he16e3e1d7a0c5ec6E,0.929,0.115,12.483,60,0.0,0.4378,5
_ZN17rustc_driver_impl4args8Expander6finish17h6bc99b9c96426224E,0.131,0.027,12.483,60,0.0,0.4795,5
_ZN17rustc_driver_impl4args8Expander3arg17h59b566ed76c465f1E,74.796,5.086,12.483,75,0.0,0.4288,4
_ZN17rustc_driver_impl4args8Expander9read_file17hd97d3ec3f5534086E,0.983,0.077,12.483,65,0.0,0.4536,5
_ZN17rustc_driver_impl6pretty5print28_$u7b$$u7b$closure$u7d$$u7d$17h41d64b8e087c4cb0E,10.787,0.886,12.483,70,0.0,0.4807,5
_ZN17rustc_driver_impl6pretty5print28_$u7b$$u7b$closure$u7d$$u7d$17h3abf1387bcc0c234E,3.221,0.226,12.483,65,0.0,0.5009,5
_ZN17rustc_driver_impl6pretty10get_source17hc64a357ac89257bbE,20.809,1.139,12.483,75,0.0,0.4826,5
_ZN17rustc_driver_impl6pretty14write_or_print17h21302716f851fd1aE,1.572,0.151,12.483,65,0.0,0.4965,5
_ZN17rustc_driver_impl12run_compiler28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$17hec5a27431aa5b775E,0.286,0.022,12.483,60,0.0,0.4954,5
_ZN17rustc_driver_impl12run_compiler28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$17h30109e64a399165bE,0.305,0.052,12.483,60,0.0,0.4378,5
_ZN17rustc_driver_impl12run_compiler28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$17hef4a494cf3c55a0bE,0.707,0.042,12.483,60,0.0,0.4918,5
_ZN17rustc_driver_impl14describe_lints28_$u7b$$u7b$closure$u7d$$u7d$17h9cbc001fa25473d4E,5.934,0.458,12.483,65,0.0,0.3932,5
_ZN17rustc_driver_impl14describe_lints28_$u7b$$u7b$closure$u7d$$u7d$17hceeff1c5d3369b6fE,5.875,0.432,12.483,65,0.0,0.4375,5
_ZN17rustc_driver_impl5usage28_$u7b$$u7b$closure$u7d$$u7d$17hc98d17dbe27e291cE,0.631,0.027,12.483,60,0.0,0.5370,5
_ZN17rustc_driver_impl14signal_handler16backtrace_stderr17hed16e73d970b4f40E,1.286,0.073,12.483,65,0.0,0.4151,5
_ZN4jiff3fmt8temporal7printer15DateTimePrinter14print_zulu_buf17h9c348bf945805402E,0.550,0.050,12.473,60,0.0,0.4795,5
_ZN4jiff3fmt8temporal7printer15DateTimePrinter14print_zulu_wtr17h515622846c253358E,0.598,0.052,12.473,60,0.0,0.4795,5
_ZN4jiff15signed_duration14SignedDuration20try_from_millis_i12817h2d80cab9d3b1f8ecE,9.499,0.863,12.468,65,0.0,0.4188,5
