🎯 Simple BFS from Main Routine

Starting BFS from: static META

Order | Emoji | Name                          | Calls
  339 | ❓     | "compiler/rustc_infer/src/inf | 
  340 | ❓     | "event compiler/rustc_infer/s | 
  341 | ❓     | 160                           | 
  342 | ❓     | "event compiler/rustc_infer/s | 
  343 | ❓     | "rustc_infer::infer::snapshot | 
  344 | ❓     | "compiler/rustc_infer/src/inf | 
  345 | ❓     | 49                            | 
  346 | ❓     | "rollback_to"                 | 
  347 | ❓     | 60                            | 
  348 | ❓     | "commit_from"                 | 
  349 | ❓     | "commit_if_ok"                | 
  350 | ❓     | 80                            | 
  351 | ❓     | "event compiler/rustc_infer/s | 
  352 | ❓     | "probe"                       | 
  353 | ❓     | 100                           | 
  354 | ❓     | "event compiler/rustc_infer/s | 
  355 | ❓     | "rustc_infer::infer::type_var | 
  356 | ❓     | "compiler/rustc_infer/src/inf | 
  357 | ❓     | 218                           | 
  358 | ❓     | "sub_regions"                 | 
  359 | ❓     | "rustc_infer::infer"          | 
  360 | ❓     | "compiler/rustc_infer/src/inf | 
  361 | ❓     | 705                           | 
  362 | ❓     | "next_nll_region_var"         | 
  363 | ❓     | 897                           | 
  364 | ❓     | "next_nll_region_var_in_unive | 
  365 | ❓     | 903                           | 
  366 | ❓     | "universe"                    | 
  367 | ❓     | "event compiler/rustc_infer/s | 
  368 | ❓     | 970                           | 
  369 | ❓     | "take_opaque_types"           | 
  370 | ❓     | 997                           | 
  371 | ❓     | "event compiler/rustc_infer/s | 
  372 | ❓     | "clone_opaque_types"          | 
  373 | ❓     | 1002                          | 
  374 | ❓     | "event compiler/rustc_infer/s | 
  375 | ❓     | "event compiler/rustc_infer/s | 
  376 | ❓     | 1296                          | 
  377 | ❓     | "event compiler/rustc_infer/s | 
  378 | ❓     | 1325                          | 
  379 | ❓     | "event compiler/rustc_infer/s | 
  380 | ❓     | "rustc_infer::traits::project | 
  381 | ❓     | "compiler/rustc_infer/src/tra | 
  382 | ❓     | 169                           | 
  383 | ❓     | "event compiler/rustc_infer/s | 
  384 | ❓     | "event compiler/rustc_infer/s | 
  385 | ❓     | 191                           | 
  386 | ❓     | "event compiler/rustc_infer/s | 
  387 | ❓     | 204                           | 
  388 | ❓     | "event compiler/rustc_builtin | 
  389 | ❓     | "rustc_builtin_macros::autodi | 
  390 | ❓     | "compiler/rustc_builtin_macro | 
  391 | ❓     | 687                           | 
  392 | ❓     | "event compiler/rustc_builtin | 
  393 | ❓     | 719                           | 
  394 | ❓     | "event compiler/rustc_builtin | 
  395 | ❓     | 843                           | 
  396 | ❓     | "event compiler/rustc_builtin | 
  397 | ❓     | 874                           | 
  398 | ❓     | "visit_expr"                  | 
  399 | ❓     | "rustc_builtin_macros::cfg_ev | 
  400 | ❓     | "compiler/rustc_builtin_macro | 
  401 | ❓     | 156                           | 
  402 | ❓     | "expr"                        | 
  403 | ❓     | "visit_method_receiver_expr"  | 
  404 | ❓     | 162                           | 
  405 | ❓     | "event compiler/rustc_builtin | 
  406 | ❓     | "rustc_builtin_macros::test"  | 
  407 | ❓     | "compiler/rustc_builtin_macro | 
  408 | ❓     | 385                           | 
  409 | ❓     | "event compiler/rustc_builtin | 
  410 | ❓     | "rustc_builtin_macros::test_h | 
  411 | ❓     | "compiler/rustc_builtin_macro | 
  412 | ❓     | 132                           | 
  413 | ❓     | "event compiler/rustc_builtin | 
  414 | ❓     | 367                           | 
  415 | ❓     | "fluent_bundle"               | 
  416 | ❓     | "rustc_error_messages"        | 
  417 | ❓     | "compiler/rustc_error_message | 
  418 | ❓     | "sysroot_candidates"          | 
  419 | ❓     | "requested_locale"            | 
  420 | ❓     | "additional_ftl_path"         | 
  421 | ❓     | "with_directionality_markers" | 
  422 | ❓     | "event compiler/rustc_error_m | 
  423 | ❓     | 121                           | 
  424 | ❓     | "requested_fallback_locale"   | 
  425 | ❓     | "event compiler/rustc_error_m | 
  426 | ❓     | 128                           | 
  427 | ❓     | "locale"                      | 
  428 | ❓     | "event compiler/rustc_error_m | 
  429 | ❓     | 149                           | 
  430 | ❓     | "sysroot"                     | 
  431 | ❓     | "event compiler/rustc_error_m | 
  432 | ❓     | 152                           | 
  433 | ❓     | "event compiler/rustc_error_m | 
  434 | ❓     | 163                           | 
  435 | ❓     | "path"                        | 
  436 | ❓     | "event compiler/rustc_error_m | 
  437 | ❓     | 165                           | 
  438 | ❓     | "event compiler/rustc_error_m | 
  439 | ❓     | 173                           | 
  440 | ❓     | "resource"                    | 
  441 | ❓     | "event compiler/rustc_error_m | 
  442 | ❓     | "fallback_fluent_bundle"      | 
  443 | ❓     | 212                           | 
  444 | ❓     | "trigger_delayed_bug"         | 
  445 | ❓     | "rustc_query_impl::query_impl | 
  446 | ❓     | "compiler/rustc_query_impl/sr | 
  447 | ❓     | 236                           | 
  448 | ❓     | "rustc_query_impl::query_impl | 
  449 | ❓     | "event compiler/rustc_query_i | 
  450 | ❓     | "ret"                         | 
  451 | ❓     | "registered_tools"            | 
  452 | ❓     | "rustc_query_impl::query_impl | 
  453 | ❓     | "rustc_query_impl::query_impl | 
  454 | ❓     | "early_lint_checks"           | 
  455 | ❓     | "rustc_query_impl::query_impl | 
  456 | ❓     | "rustc_query_impl::query_impl | 
  457 | ❓     | "env_var_os"                  | 
  458 | ❓     | "rustc_query_impl::query_impl | 
  459 | ❓     | "rustc_query_impl::query_impl | 
  460 | ❓     | "resolutions"                 | 
  461 | ❓     | "rustc_query_impl::query_impl | 
  462 | ❓     | "rustc_query_impl::query_impl | 
  463 | ❓     | "resolver_for_lowering_raw"   | 
  464 | ❓     | "rustc_query_impl::query_impl | 
  465 | ❓     | "rustc_query_impl::query_impl | 
  466 | ❓     | "source_span"                 | 
  467 | ❓     | "rustc_query_impl::query_impl | 
  468 | ❓     | "rustc_query_impl::query_impl | 
  469 | ❓     | "hir_crate"                   | 
  470 | ❓     | "rustc_query_impl::query_impl | 
  471 | ❓     | "rustc_query_impl::query_impl | 
  472 | ❓     | "hir_crate_items"             | 
  473 | ❓     | "rustc_query_impl::query_impl | 
  474 | ❓     | "rustc_query_impl::query_impl | 
  475 | ❓     | "hir_module_items"            | 
  476 | ❓     | "rustc_query_impl::query_impl | 
  477 | ❓     | "rustc_query_impl::query_impl | 
  478 | ❓     | "local_def_id_to_hir_id"      | 
  479 | ❓     | "rustc_query_impl::query_impl | 
  480 | ❓     | "rustc_query_impl::query_impl | 
  481 | ❓     | "hir_owner_parent"            | 
  482 | ❓     | "rustc_query_impl::query_impl | 
  483 | ❓     | "rustc_query_impl::query_impl | 
  484 | ❓     | "opt_hir_owner_nodes"         | 
  485 | ❓     | "rustc_query_impl::query_impl | 
  486 | ❓     | "rustc_query_impl::query_impl | 
